iter	Passed	Remaining
0	1	152
1	3	147
2	4	144
3	5	133
4	6	131
5	8	129
6	9	129
7	11	131
8	12	130
9	14	128
10	15	129
11	17	127
12	19	127
13	20	124
14	21	122
15	23	120
16	24	119
17	26	118
18	27	116
19	28	114
20	30	113
21	31	111
22	32	109
23	34	108
24	35	106
25	36	105
26	38	104
27	39	102
28	41	101
29	42	100
30	44	98
31	45	97
32	47	95
33	48	94
34	49	92
35	51	91
36	52	89
37	54	88
38	55	86
39	56	85
40	58	84
41	59	81
42	60	80
43	62	79
44	63	77
45	65	76
46	66	75
47	68	73
48	69	72
49	71	71
50	72	69
51	73	68
52	75	66
53	76	65
54	77	63
55	78	62
56	80	60
57	81	59
58	83	57
59	84	56
60	86	55
61	87	53
62	88	52
63	90	50
64	91	49
65	93	48
66	94	46
67	96	45
68	97	43
69	98	42
70	100	40
71	101	39
72	103	38
73	104	36
74	106	35
75	107	33
76	108	32
77	110	31
78	111	29
79	113	28
80	114	26
81	115	25
82	117	24
83	118	22
84	120	21
85	121	19
86	122	18
87	124	16
88	125	15
89	127	14
90	128	12
91	129	11
92	131	9
93	132	8
94	134	7
95	135	5
96	136	4
97	138	2
98	139	1
99	140	0
