iter	Passed	Remaining
0	152	152536
1	153	76553
2	154	51208
3	154	38501
4	155	30891
5	155	25807
6	156	22172
7	156	19460
8	157	17350
9	158	15653
10	158	14262
11	159	13105
12	159	12136
13	160	11298
14	161	10579
15	161	9950
16	162	9398
17	163	8899
18	163	8450
19	164	8048
20	164	7688
21	165	7355
22	165	7049
23	166	6771
24	167	6514
25	167	6276
26	168	6057
27	168	5855
28	169	5664
29	169	5488
30	170	5323
31	170	5171
32	171	5026
33	172	4890
34	172	4762
35	173	4641
36	174	4539
37	175	4431
38	175	4328
39	176	4232
40	177	4140
41	177	4052
42	178	3966
43	178	3884
44	179	3806
45	179	3732
46	180	3659
47	181	3592
48	181	3528
49	182	3465
50	183	3406
51	183	3347
52	184	3290
53	184	3235
54	185	3182
55	185	3131
56	186	3081
57	186	3033
58	187	2987
59	187	2943
60	188	2901
61	189	2861
62	189	2822
63	190	2784
64	191	2749
65	191	2715
66	192	2680
67	193	2645
68	193	2612
69	194	2581
70	194	2550
71	195	2522
72	196	2493
73	196	2463
74	197	2434
75	198	2408
76	198	2381
77	199	2354
78	199	2328
79	200	2303
80	200	2278
81	201	2255
82	201	2229
83	202	2206
84	202	2184
85	203	2164
86	204	2143
87	204	2123
88	205	2102
89	206	2082
90	206	2063
91	207	2043
92	207	2024
93	208	2006
94	208	1988
95	209	1971
96	209	1954
97	210	1937
98	211	1920
99	211	1904
100	212	1887
101	212	1871
102	213	1856
103	213	1842
104	214	1827
105	214	1812
106	215	1798
107	216	1784
108	216	1770
109	217	1756
110	217	1742
111	218	1730
112	218	1718
113	219	1706
114	220	1694
115	220	1682
116	221	1670
117	221	1659
118	222	1647
119	223	1635
120	223	1624
121	224	1612
122	224	1602
123	225	1593
124	226	1583
125	226	1573
126	227	1563
127	227	1552
128	228	1542
129	229	1532
130	229	1523
131	230	1513
132	230	1504
133	231	1494
134	231	1485
135	232	1476
136	232	1467
137	233	1459
138	234	1450
139	234	1442
140	240	1467
141	241	1458
142	241	1449
143	242	1441
144	242	1432
145	243	1423
146	243	1415
147	244	1406
148	244	1398
149	245	1390
150	246	1383
151	246	1375
152	247	1367
153	247	1360
154	248	1352
155	248	1345
156	249	1338
157	249	1331
158	250	1325
159	251	1318
160	251	1310
161	251	1303
162	252	1296
163	253	1290
164	253	1283
165	254	1276
166	254	1270
167	255	1264
168	255	1258
169	256	1252
170	257	1246
171	257	1240
172	258	1234
173	258	1228
174	259	1222
175	259	1216
176	260	1210
177	260	1204
178	261	1199
179	261	1193
180	262	1187
181	263	1182
182	263	1176
183	264	1171
184	264	1166
185	265	1161
186	265	1156
187	266	1151
188	267	1146
189	267	1140
190	268	1135
191	268	1130
192	269	1125
193	269	1121
194	270	1116
195	271	1111
196	271	1106
197	272	1102
198	272	1097
199	273	1092
200	273	1088
201	274	1083
202	274	1078
203	275	1074
204	275	1069
205	276	1065
206	276	1060
207	277	1056
208	278	1052
209	278	1047
210	279	1044
211	279	1040
212	280	1036
213	281	1032
214	281	1028
215	282	1024
216	282	1020
217	283	1016
218	283	1012
219	284	1008
220	285	1005
221	285	1001
222	286	997
223	286	993
224	287	990
225	288	986
226	288	982
227	289	978
228	289	975
229	290	971
230	290	967
231	291	964
232	291	960
233	292	957
234	292	953
235	293	950
236	294	946
237	294	943
238	295	940
239	295	936
240	296	933
241	297	930
242	297	926
243	298	923
244	298	920
245	299	917
246	299	913
247	300	910
248	301	907
249	301	904
250	302	901
251	302	898
252	303	895
253	303	892
254	304	889
255	304	886
256	305	884
257	306	881
258	306	877
259	307	874
260	307	871
261	308	868
262	309	865
263	309	863
264	310	860
265	310	857
266	311	854
267	311	851
268	312	849
269	313	846
270	313	844
271	314	841
272	314	838
273	315	836
274	316	833
275	316	830
276	317	828
277	317	825
278	318	823
279	319	820
280	319	817
281	320	815
282	320	812
283	321	810
284	321	807
285	322	805
286	323	802
287	323	799
288	324	797
289	324	795
290	325	792
291	326	790
292	326	788
293	327	786
294	328	784
295	328	781
296	329	779
297	329	777
298	330	775
299	331	772
300	331	770
301	332	768
302	332	765
303	333	763
304	334	761
305	334	759
306	335	757
307	335	754
308	336	752
309	337	750
310	337	748
311	338	746
312	338	743
313	339	741
314	340	739
315	340	737
316	341	735
317	342	733
318	342	731
319	343	729
320	343	727
321	344	725
322	345	723
323	345	721
324	346	719
325	347	717
326	347	715
327	348	713
328	348	711
329	349	709
330	349	707
331	350	705
332	350	702
333	351	701
334	352	699
335	352	697
336	353	695
337	353	693
338	354	691
339	355	690
340	356	688
341	356	686
342	357	684
343	357	682
344	358	680
345	358	678
346	359	676
347	360	674
348	360	673
349	361	671
350	362	669
351	362	667
352	363	665
353	363	663
354	364	661
355	364	659
356	365	658
357	365	656
358	366	654
359	367	652
360	367	650
361	368	648
362	368	647
363	369	645
364	370	643
365	370	642
366	371	640
367	371	638
368	372	636
369	372	635
370	373	633
371	374	631
372	374	629
373	375	628
374	375	626
375	376	624
376	377	623
377	377	621
378	378	619
379	378	618
380	379	616
381	379	614
382	380	613
383	381	611
384	381	609
385	382	608
386	382	606
387	383	604
388	384	603
389	384	601
390	385	600
391	386	598
392	386	597
393	387	595
394	387	593
395	388	592
396	388	590
397	389	589
398	390	587
399	391	586
400	391	584
401	392	583
402	392	581
403	393	579
404	393	578
405	394	576
406	394	575
407	395	573
408	395	571
409	396	570
410	397	569
411	397	567
412	398	565
413	398	564
414	399	563
415	399	561
416	400	559
417	401	558
418	401	557
419	402	555
420	402	554
421	403	552
422	404	551
423	404	549
424	405	548
425	405	546
426	406	545
427	406	543
428	407	542
429	407	540
430	408	539
431	408	537
432	409	536
433	410	534
434	410	533
435	411	531
436	411	530
437	412	529
438	412	527
439	413	526
440	414	524
441	414	523
442	415	522
443	416	520
444	416	519
445	417	518
446	417	516
447	418	515
448	418	514
449	419	512
450	420	511
451	420	510
452	421	508
453	421	507
454	422	505
455	422	504
456	423	503
457	423	501
458	424	500
459	425	498
460	425	497
461	426	496
462	426	494
463	427	493
464	427	492
465	428	490
466	428	489
467	429	488
468	430	486
469	430	485
470	431	484
471	431	482
472	432	481
473	432	480
474	433	478
475	433	477
476	434	476
477	434	474
478	435	473
479	436	472
480	436	471
481	437	469
482	437	468
483	438	467
484	438	465
485	439	464
486	439	463
487	440	461
488	440	460
489	441	459
490	441	458
491	442	456
492	442	455
493	443	454
494	444	453
495	444	451
496	445	450
497	445	449
498	446	448
499	446	446
500	447	445
501	448	444
502	448	443
503	449	442
504	449	440
505	450	439
506	450	438
507	451	437
508	451	435
509	452	434
510	453	433
511	453	432
512	454	431
513	454	429
514	455	428
515	455	427
516	456	426
517	456	425
518	457	423
519	457	422
520	458	421
521	458	420
522	459	419
523	460	418
524	460	416
525	461	415
526	462	414
527	462	413
528	463	412
529	463	411
530	464	409
531	464	408
532	465	407
533	465	406
534	466	405
535	467	404
536	467	403
537	468	402
538	468	400
539	469	399
540	470	398
541	470	397
542	471	396
543	471	395
544	472	394
545	472	393
546	473	391
547	473	390
548	474	389
549	474	388
550	475	387
551	476	386
552	476	385
553	477	384
554	477	383
555	478	382
556	478	380
557	479	379
558	480	378
559	480	377
560	481	376
561	481	375
562	482	374
563	483	373
564	483	372
565	484	371
566	484	370
567	485	369
568	485	367
569	486	366
570	486	365
571	487	364
572	487	363
573	488	362
574	488	361
575	489	360
576	490	359
577	490	358
578	491	357
579	491	356
580	492	355
581	492	354
582	493	352
583	494	351
584	494	350
585	495	349
586	495	348
587	496	347
588	496	346
589	497	345
590	497	344
591	498	343
592	499	342
593	499	341
594	500	340
595	500	339
596	501	338
597	501	337
598	502	336
599	502	335
600	503	334
601	504	333
602	505	332
603	505	331
604	506	330
605	506	329
606	507	328
607	507	327
608	508	326
609	509	325
610	509	324
611	510	323
612	510	322
613	511	321
614	512	320
615	512	319
616	513	318
617	514	317
618	514	316
619	515	315
620	516	314
621	516	314
622	517	313
623	517	312
624	518	311
625	519	310
